"STATION","NAME","LOCATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00042319","DEATH VALLEY, CA US","37.4 °N, 116.42 °W","2018-01-01","0.00","0.0","0.0","65","34","42"
"USC00042319","DEATH VALLEY, CA US","37.4 °N, 116.42 °W","2018-01-02","0.00","0.0","0.0","61","38","46"
"USC00042319","DEATH VALLEY, CA US","37.4 °N, 116.42 °W","2018-01-03","0.00","0.0","0.0","69","34","54"
"USC00042319","DEATH VALLEY, CA US","37.4 °N, 116.42 °W","2018-01-04","0.00","0.0","0.0","69","39","48"
"USC00042319","DEATH VALLEY, CA US","37.4 °N, 116.42 °W","2018-01-05","0.00","0.0","0.0","74","40","57"
"USC00042319","DEATH VALLEY, CA US","37.4 °N, 116.42 °W","2018-01-06","0.00","0.0","0.0","74","47","65"
"USC00042319","DEATH VALLEY, CA US","37.4 °N, 116.42 °W","2018-01-07","0.00","0.0","0.0","77","54","60"
"USC00042319","DEATH VALLEY, CA US","37.4 °N, 116.42 °W","2018-01-08","0.07","0.0","0.0","62","52","52"
"USC00042319","DEATH VALLEY, CA US","37.4 °N, 116.42 °W","2018-01-09","0.40","0.0","0.0","60","51","51"
"USC00042319","DEATH VALLEY, CA US","37.4 °N, 116.42 °W","2018-01-10","0.00","0.0","0.0","64","49","50"